,Model,Params (M),Pass@1,Pass@10,BLEU,Avg Latency (s),File Size (MB)
0,Teacher,3030.371328,0.05,0.5,0.007923342846014708,51.866380023956296,0
1,Small-model_t1.7_a0.6,44.343296,0.5,0.95,0.015121878912396022,2.4891056776046754,0
