,Model,Params (M),Pass@1,Pass@10,BLEU,Avg Latency (s),File Size (MB)
0,Teacher,3030.371328,0.05,0.4,0.007923342846014708,51.71235345602035,0
1,Medium-model_t2.0_a0.5,202.012672,0.8,1.0,0.014244971351249198,4.724783039093017,0
